loan_number,cust_number,loan_category,loan_condition,principal_amount,loan_rate,duration_months,installment_amount,commencement_date,initial_credit_score,collateral_value,purpose_of_loan
5153,7452298,Mortgage,Active,500135.03,0.0337,180,3543.53,2020-08-17,738,600162.04,Home Purchase
3374,1186368,Mortgage,Paid,248767.74,0.0365,180,1796.78,2021-03-21,711,298521.29,Debt Consolidation
6671,5264203,Mortgage,Defaulted,252788.14,0.0315,180,1764.0,2022-10-23,675,303345.77,Auto Purchase
8558,5617059,Mortgage,Defaulted,486906.03,0.0354,360,2197.31,2022-01-12,839,584287.24,Business Expansion
8037,5093401,Mortgage,Paid,114122.54,0.0505,180,905.45,2024-11-05,723,136947.05,Debt Consolidation
8954,3345834,Auto,Active,20561.93,0.0681,60,405.31,2023-12-24,794,24674.32,Education
8700,6921373,Personal,Active,42650.28,0.1474,48,1181.38,2020-04-12,710,51180.34,Debt Consolidation
3812,6022045,Mortgage,Paid,860599.6,0.0327,180,6055.53,2023-08-05,849,1032719.52,Home Purchase
8667,2826574,Personal,Defaulted,18606.46,0.1227,60,416.43,2024-03-10,775,22327.75,Business Expansion
2640,4049023,Auto,Active,66074.5,0.0551,72,1079.83,2021-01-03,833,79289.4,Auto Purchase
3987,3478269,Mortgage,Active,703920.54,0.0396,360,3344.41,2021-09-15,747,844704.65,Business Expansion
1413,3227762,Personal,Defaulted,3935.81,0.1408,12,353.53,2023-09-23,766,4722.97,Auto Purchase
2843,4086852,Auto,Defaulted,34345.44,0.0737,60,686.09,2020-07-21,834,41214.53,Business Expansion
1026,6443492,Mortgage,Paid,706821.63,0.0562,360,4066.63,2024-04-19,619,848185.96,Home Purchase
2304,7593234,Mortgage,Paid,661438.21,0.0351,180,4731.76,2020-11-13,692,793725.85,Debt Consolidation
2424,7867903,Personal,Defaulted,17134.06,0.1375,24,820.63,2021-03-14,810,20560.87,Home Purchase
8147,9371400,Mortgage,Active,632060.28,0.0373,360,2920.0,2020-10-30,630,758472.34,Home Purchase
2220,8292352,Mortgage,Paid,436278.47,0.0509,180,3470.55,2024-03-11,648,523534.16,Debt Consolidation
8582,1944480,Mortgage,Active,698591.18,0.0585,360,4121.28,2022-10-05,697,838309.42,Debt Consolidation
4366,9527375,Personal,Paid,34390.16,0.088,60,710.55,2023-12-07,710,41268.19,Education
9704,1983192,Personal,Paid,38206.17,0.1453,48,1054.23,2020-04-08,788,45847.4,Debt Consolidation
8317,8719854,Mortgage,Defaulted,847906.17,0.0463,360,4361.96,2022-03-12,777,1017487.4,Education
3966,5083016,Personal,Active,14470.96,0.138,12,1297.94,2022-01-31,835,17365.15,Home Purchase
1314,8258208,Mortgage,Defaulted,314773.56,0.0457,360,1608.03,2021-02-06,614,377728.27,Debt Consolidation
8619,2212803,Mortgage,Defaulted,744096.3,0.0356,180,5341.37,2023-09-07,779,892915.56,Business Expansion
6754,9970060,Auto,Active,67875.22,0.0605,36,2066.43,2021-10-17,788,81450.26,Business Expansion
4825,3556221,Mortgage,Defaulted,744005.74,0.0461,180,5733.51,2023-04-04,828,892806.89,Business Expansion
3953,4102874,Auto,Paid,21647.74,0.0617,36,660.23,2020-01-20,849,25977.29,Debt Consolidation
2641,5254152,Auto,Defaulted,33928.57,0.0739,36,1053.68,2020-02-01,757,40714.28,Business Expansion
8755,6017202,Auto,Paid,46588.31,0.0538,36,1404.26,2023-09-01,614,55905.97,Education
9617,5405858,Personal,Defaulted,41589.59,0.0986,48,1052.03,2023-07-04,792,49907.51,Debt Consolidation
5164,8565378,Auto,Defaulted,70161.09,0.0548,60,1339.51,2023-11-12,783,84193.31,Home Purchase
8455,1011337,Mortgage,Defaulted,771943.85,0.0583,180,6443.42,2021-11-29,719,926332.62,Home Purchase
5700,7653160,Auto,Paid,56755.05,0.0491,72,911.67,2023-06-20,671,68106.06,Business Expansion
7878,1588066,Mortgage,Active,866572.77,0.0451,180,6633.65,2024-09-26,604,1039887.32,Debt Consolidation
9542,4464468,Auto,Paid,66259.06,0.0566,72,1087.5,2023-10-26,794,79510.87,Debt Consolidation
7904,6836702,Auto,Paid,70452.91,0.0487,48,1618.34,2019-12-12,741,84543.49,Education
4390,4040103,Mortgage,Active,490638.77,0.0324,180,3445.18,2021-09-26,748,588766.52,Auto Purchase
9128,7244950,Auto,Paid,50002.4,0.0787,36,1563.9,2021-06-28,846,60002.88,Home Purchase
1767,8348059,Mortgage,Defaulted,984608.62,0.05,180,7786.22,2023-11-05,648,1181530.34,Education
4095,7148241,Mortgage,Defaulted,492777.12,0.0438,360,2461.82,2022-08-24,755,591332.54,Auto Purchase
9958,3074710,Auto,Active,17486.26,0.0596,60,337.73,2024-03-31,847,20983.51,Business Expansion
2720,6541421,Auto,Paid,17470.69,0.0646,72,293.35,2022-09-16,620,20964.83,Education
7607,2755816,Auto,Paid,59209.92,0.0421,60,1096.06,2021-06-03,801,71051.9,Business Expansion
9090,1534800,Mortgage,Paid,145587.73,0.0538,360,815.7,2020-10-18,779,174705.28,Business Expansion
8144,3681017,Auto,Defaulted,68984.54,0.0455,36,2053.62,2023-04-14,625,82781.45,Home Purchase
1149,7296444,Personal,Paid,4647.07,0.108,12,410.28,2023-04-09,709,5576.48,Business Expansion
2614,8942834,Personal,Defaulted,4796.68,0.1375,36,163.36,2022-12-02,735,5756.02,Auto Purchase
1489,3177667,Auto,Paid,58820.88,0.0409,72,922.68,2021-11-23,660,70585.06,Auto Purchase
7389,4182050,Personal,Paid,39545.29,0.0864,48,977.34,2024-05-20,613,47454.35,Business Expansion
6487,7006319,Mortgage,Active,838863.65,0.0539,360,4705.24,2024-08-26,800,1006636.38,Education
7917,6009323,Auto,Active,60731.94,0.069,60,1199.7,2021-06-14,704,72878.33,Home Purchase
8011,7370071,Auto,Active,58974.53,0.0466,72,940.51,2021-11-23,696,70769.44,Home Purchase
4434,5938694,Personal,Active,28047.57,0.0909,60,583.45,2024-01-22,603,33657.08,Auto Purchase
5268,7140122,Auto,Active,47855.96,0.0605,72,794.24,2020-11-12,808,57427.15,Business Expansion
5595,7808902,Auto,Active,62020.34,0.0763,48,1503.35,2022-01-22,648,74424.41,Debt Consolidation
7188,4528753,Mortgage,Active,122944.73,0.0335,180,869.88,2020-10-14,687,147533.68,Debt Consolidation
6403,8141025,Auto,Defaulted,40394.52,0.0736,60,806.74,2023-02-22,749,48473.42,Debt Consolidation
4566,6187531,Personal,Active,29862.28,0.1371,48,811.69,2020-07-15,632,35834.74,Education
7376,5627383,Personal,Defaulted,12563.73,0.1146,12,1113.1,2023-01-28,603,15076.48,Debt Consolidation
3685,8882645,Mortgage,Paid,259350.98,0.0348,360,1161.71,2022-12-19,812,311221.18,Auto Purchase
1547,2858102,Mortgage,Paid,603533.53,0.0475,360,3148.32,2022-11-07,795,724240.24,Auto Purchase
7570,4295227,Personal,Defaulted,28787.58,0.1469,60,680.18,2022-11-18,697,34545.1,Home Purchase
9608,5542370,Personal,Defaulted,32788.73,0.1065,24,1522.89,2020-10-07,835,39346.48,Auto Purchase
6776,3138673,Auto,Defaulted,25449.52,0.0666,72,429.75,2020-04-03,640,30539.42,Auto Purchase
1460,5019251,Auto,Paid,74610.86,0.0754,48,1805.4,2022-09-02,762,89533.03,Debt Consolidation
9410,5691140,Auto,Active,38949.91,0.0512,60,737.18,2024-08-10,785,46739.89,Home Purchase
2212,6598972,Personal,Defaulted,38148.19,0.1478,60,903.14,2021-01-05,847,45777.83,Debt Consolidation
1879,9278748,Mortgage,Active,422362.02,0.0407,360,2033.5,2023-01-12,606,506834.42,Auto Purchase
5539,8149078,Mortgage,Defaulted,245282.02,0.0528,360,1359.02,2020-06-24,640,294338.42,Education
2773,4876360,Auto,Paid,74743.67,0.0551,48,1738.61,2023-08-01,759,89692.4,Auto Purchase
7174,9272003,Auto,Defaulted,49209.62,0.0591,36,1495.05,2020-05-12,721,59051.54,Business Expansion
7809,8238796,Auto,Active,31925.44,0.0791,72,558.35,2020-08-10,705,38310.53,Education
5429,5105689,Mortgage,Active,949279.46,0.0366,180,6861.07,2024-03-28,713,1139135.35,Education
4892,9496872,Auto,Active,18154.04,0.0547,36,547.93,2021-02-26,791,21784.85,Education
5022,1593573,Mortgage,Paid,702937.03,0.0476,360,3671.09,2021-08-03,714,843524.44,Home Purchase
7437,9281822,Personal,Paid,23337.24,0.0901,12,2040.98,2023-01-23,610,28004.69,Education
4119,3020621,Personal,Active,9346.04,0.0973,24,430.11,2020-02-28,721,11215.25,Education
9912,3618985,Mortgage,Active,575377.19,0.0415,180,4299.38,2024-05-17,623,690452.63,Debt Consolidation
4010,9597430,Personal,Paid,10118.61,0.134,24,482.96,2021-11-09,768,12142.33,Education
1201,1159111,Mortgage,Paid,568048.67,0.0329,360,2484.67,2021-01-21,735,681658.4,Auto Purchase
6637,6209870,Personal,Defaulted,31904.34,0.1254,24,1509.91,2020-07-25,801,38285.21,Debt Consolidation
1635,5642335,Mortgage,Active,309495.44,0.0405,180,2297.06,2023-11-08,774,371394.53,Home Purchase
3080,2862180,Mortgage,Active,658951.77,0.0332,180,4652.7,2021-05-07,803,790742.12,Home Purchase
9249,1868912,Auto,Active,24466.69,0.0692,60,483.55,2021-01-20,620,29360.03,Education
2896,6729965,Mortgage,Active,192118.14,0.0305,180,1331.36,2023-09-28,604,230541.77,Education
3564,4635481,Mortgage,Paid,360803.71,0.0512,180,2875.82,2024-01-27,850,432964.45,Debt Consolidation
2293,8517252,Personal,Active,40113.46,0.1266,24,1900.67,2022-11-10,608,48136.15,Business Expansion
6169,2530783,Auto,Defaulted,36869.65,0.0735,60,736.17,2021-09-18,748,44243.58,Education
5073,6730841,Auto,Active,51893.51,0.0401,72,812.12,2023-09-26,678,62272.21,Debt Consolidation
1248,3965414,Auto,Active,21832.06,0.0486,36,652.96,2024-09-11,740,26198.47,Business Expansion
8514,7558391,Mortgage,Active,650418.02,0.0368,360,2986.41,2021-01-06,614,780501.62,Auto Purchase
1774,9407451,Personal,Defaulted,12864.96,0.0882,24,586.67,2021-11-19,808,15437.95,Education
1925,6343672,Personal,Active,37348.36,0.0913,36,1189.93,2021-05-24,752,44818.03,Home Purchase
8978,1686923,Mortgage,Defaulted,736428.68,0.0456,360,3757.68,2023-01-27,702,883714.42,Auto Purchase
3273,2606529,Personal,Active,29851.76,0.0856,36,943.18,2024-02-09,650,35822.11,Debt Consolidation
5981,7283103,Auto,Active,15154.11,0.0702,72,258.51,2023-02-16,731,18184.93,Auto Purchase
8131,1333296,Auto,Active,15899.27,0.0541,72,259.09,2023-06-02,825,19079.12,Auto Purchase
1791,9930937,Mortgage,Active,710616.95,0.0526,360,3928.46,2020-11-28,830,852740.34,Auto Purchase
2897,2924217,Personal,Defaulted,42518.31,0.1037,48,1085.94,2021-08-21,702,51021.97,Debt Consolidation
9881,2117809,Mortgage,Defaulted,917314.95,0.0599,180,7735.87,2024-07-25,786,1100777.94,Education
7500,1183382,Auto,Defaulted,15308.39,0.0652,36,469.33,2022-05-20,623,18370.07,Auto Purchase
8804,2654470,Personal,Paid,29791.17,0.082,24,1350.09,2020-02-02,624,35749.4,Auto Purchase
6904,5799256,Mortgage,Defaulted,704840.08,0.0537,180,5710.62,2024-04-07,713,845808.1,Auto Purchase
6939,3217986,Auto,Paid,48280.6,0.0671,60,949.42,2021-01-09,792,57936.72,Business Expansion
6198,8210737,Personal,Defaulted,6373.9,0.1144,48,166.1,2020-06-26,622,7648.68,Debt Consolidation
8644,4510288,Mortgage,Defaulted,654520.65,0.0386,180,4795.62,2020-11-07,649,785424.78,Education
7639,6018797,Auto,Paid,18323.49,0.053,60,348.31,2023-03-18,758,21988.19,Auto Purchase
9678,8668230,Personal,Paid,1948.25,0.1109,12,172.27,2020-01-18,761,2337.9,Home Purchase
9722,9044871,Auto,Paid,26979.76,0.0704,72,460.5,2023-08-31,749,32375.71,Auto Purchase
6309,3736470,Personal,Defaulted,48067.8,0.0881,36,1524.3,2024-06-20,739,57681.36,Home Purchase
3330,2831998,Auto,Defaulted,55409.16,0.0533,36,1668.88,2022-08-06,833,66490.99,Debt Consolidation
9719,5997462,Mortgage,Active,866855.6,0.0323,360,3763.1,2023-12-07,776,1040226.72,Business Expansion
4534,5195972,Mortgage,Defaulted,492933.23,0.0546,360,2786.46,2022-02-20,745,591519.88,Auto Purchase
5133,7282352,Mortgage,Active,912124.27,0.0556,180,7481.89,2021-04-09,617,1094549.12,Education
7030,2310738,Personal,Paid,18085.4,0.081,48,442.37,2024-05-10,771,21702.48,Debt Consolidation
6894,7059800,Mortgage,Active,149955.49,0.0488,180,1176.49,2022-10-26,761,179946.59,Education
3256,3389522,Auto,Paid,40412.49,0.0638,36,1236.4,2023-10-01,711,48494.99,Home Purchase
1595,1094477,Personal,Paid,46623.72,0.1452,60,1097.46,2019-11-25,651,55948.46,Education
6541,7147865,Auto,Defaulted,16608.38,0.0659,72,279.9,2022-03-04,706,19930.06,Home Purchase
3348,8839459,Auto,Active,34114.48,0.0714,72,583.91,2021-08-27,644,40937.38,Home Purchase
7609,8977571,Mortgage,Paid,579762.22,0.0595,180,4876.72,2019-12-28,674,695714.66,Auto Purchase
2558,9158540,Mortgage,Defaulted,350950.43,0.0525,180,2821.21,2021-08-04,770,421140.52,Business Expansion
3391,6574014,Auto,Defaulted,48512.56,0.0483,60,911.72,2021-08-31,778,58215.07,Auto Purchase
1340,4666178,Auto,Defaulted,35331.91,0.0658,72,595.27,2022-12-23,631,42398.29,Business Expansion
5430,4159989,Personal,Active,21896.54,0.1404,48,598.79,2019-11-22,769,26275.85,Auto Purchase
6943,3944885,Auto,Paid,51908.72,0.0421,48,1176.93,2022-03-31,801,62290.46,Home Purchase
8014,6298800,Mortgage,Active,347944.33,0.0465,180,2688.5,2021-01-28,666,417533.2,Auto Purchase
9606,8180150,Personal,Active,21237.07,0.1297,60,482.88,2020-10-21,619,25484.48,Business Expansion
1659,7168510,Auto,Defaulted,31353.64,0.0652,72,527.35,2021-01-19,685,37624.37,Education
9122,1839436,Personal,Active,11399.95,0.1098,60,247.75,2024-10-01,622,13679.94,Debt Consolidation
4972,3910830,Mortgage,Defaulted,186005.22,0.039,360,877.33,2021-04-20,688,223206.26,Debt Consolidation
9735,1166200,Auto,Paid,22624.42,0.0469,72,361.12,2022-04-02,666,27149.3,Education
1318,5058968,Mortgage,Defaulted,387361.34,0.0373,180,2813.14,2022-03-01,621,464833.61,Home Purchase
8993,3253939,Auto,Active,58443.41,0.0694,60,1155.6,2023-06-03,792,70132.09,Home Purchase
4640,1294616,Mortgage,Defaulted,654468.16,0.0529,360,3630.23,2022-11-04,674,785361.79,Education
7754,8099188,Mortgage,Defaulted,600936.72,0.059,360,3564.38,2024-07-25,606,721124.06,Debt Consolidation
8591,9378053,Personal,Paid,40148.71,0.1094,36,1313.28,2020-06-23,611,48178.45,Auto Purchase
9241,7173286,Personal,Defaulted,29195.48,0.0858,48,720.72,2019-12-29,830,35034.58,Home Purchase
2116,3888087,Auto,Active,38169.33,0.0637,48,902.9,2023-07-23,771,45803.2,Auto Purchase
3300,8923478,Mortgage,Paid,430402.51,0.0566,180,3553.4,2022-10-26,639,516483.01,Education
4822,5713495,Mortgage,Defaulted,717132.62,0.0306,360,3046.72,2020-04-03,795,860559.14,Debt Consolidation
8859,3837899,Personal,Defaulted,18663.82,0.0939,48,467.91,2021-01-06,761,22396.58,Education
5681,6763742,Personal,Paid,1593.25,0.1041,48,40.72,2024-08-09,672,1911.9,Education
5655,9039701,Auto,Paid,50336.86,0.0739,48,1214.51,2020-06-04,644,60404.23,Business Expansion
2022,2653175,Auto,Paid,50564.2,0.0447,60,941.98,2021-02-27,763,60677.04,Education
8870,1733372,Auto,Paid,26528.15,0.0404,36,783.69,2020-04-11,604,31833.78,Debt Consolidation
9791,7496259,Personal,Paid,18543.02,0.1416,12,1666.32,2021-03-17,666,22251.62,Education
6864,9349793,Mortgage,Active,631743.13,0.0561,180,5198.82,2021-01-31,631,758091.76,Debt Consolidation
8035,8267022,Personal,Defaulted,34362.39,0.1082,60,744.04,2024-10-26,618,41234.87,Home Purchase
6002,5008070,Personal,Paid,48856.4,0.0815,48,1196.17,2020-11-29,692,58627.68,Debt Consolidation
6709,1211511,Auto,Paid,41622.21,0.0738,36,1292.42,2021-08-25,641,49946.65,Debt Consolidation
5856,2732870,Personal,Defaulted,49735.22,0.1186,60,1102.82,2024-09-07,656,59682.26,Business Expansion
6306,4903872,Personal,Paid,46905.11,0.1252,36,1569.6,2021-08-18,794,56286.13,Home Purchase
7381,6133456,Auto,Paid,57087.88,0.079,48,1391.0,2021-07-30,702,68505.46,Business Expansion
1423,9589795,Auto,Defaulted,51086.07,0.0613,48,1202.81,2023-11-30,819,61303.28,Education
2626,2722036,Personal,Defaulted,13657.91,0.1448,24,658.86,2023-03-06,646,16389.49,Debt Consolidation
7716,7399527,Auto,Paid,32344.45,0.0493,60,609.34,2021-12-05,734,38813.34,Business Expansion
2508,6823084,Personal,Defaulted,13272.87,0.1265,36,444.98,2024-04-14,808,15927.44,Home Purchase
6177,7119752,Mortgage,Defaulted,622411.11,0.0309,180,4325.25,2022-07-21,736,746893.33,Auto Purchase
4636,8103048,Personal,Defaulted,22120.23,0.1213,36,736.08,2023-10-14,606,26544.28,Home Purchase
2519,1371090,Personal,Paid,12542.23,0.1011,48,318.77,2024-11-14,772,15050.68,Auto Purchase
1016,6023963,Auto,Active,19546.97,0.0529,36,588.39,2020-05-21,777,23456.36,Business Expansion
8893,7795314,Personal,Defaulted,27922.29,0.0889,60,578.13,2022-04-18,809,33506.75,Home Purchase
8238,3205551,Mortgage,Paid,618002.82,0.0459,360,3164.46,2023-11-20,780,741603.38,Debt Consolidation
8129,4566744,Mortgage,Defaulted,723571.49,0.0316,180,5052.72,2023-08-06,655,868285.79,Education
3828,6956086,Mortgage,Active,341418.59,0.04,360,1629.98,2022-09-02,754,409702.31,Auto Purchase
5657,4356975,Personal,Defaulted,34115.54,0.1401,48,932.43,2024-07-30,778,40938.65,Debt Consolidation
8188,1536653,Mortgage,Active,481985.01,0.0378,360,2240.36,2021-07-04,722,578382.01,Home Purchase
7544,9925405,Mortgage,Active,127166.21,0.0565,180,1049.2,2023-07-15,683,152599.45,Business Expansion
6371,6659799,Personal,Defaulted,4099.06,0.1169,24,192.36,2022-07-02,613,4918.87,Home Purchase
1239,7516284,Auto,Defaulted,57272.62,0.0619,36,1747.28,2023-07-17,607,68727.14,Business Expansion
9782,8865939,Mortgage,Paid,520381.1,0.0404,180,3859.64,2023-06-19,678,624457.32,Home Purchase
5205,5547530,Auto,Active,44881.56,0.0628,36,1371.09,2020-07-26,627,53857.87,Home Purchase
9900,1317113,Mortgage,Defaulted,219789.25,0.0403,360,1053.11,2021-02-01,777,263747.1,Home Purchase
7844,2949131,Personal,Paid,25729.06,0.1124,60,562.5,2020-01-24,726,30874.87,Home Purchase
2970,7675125,Personal,Defaulted,21252.89,0.0912,12,1859.78,2024-02-29,814,25503.47,Debt Consolidation
7136,1198969,Personal,Paid,32295.32,0.1232,24,1525.08,2022-05-27,605,38754.38,Debt Consolidation
2009,8783398,Personal,Paid,10534.82,0.1137,24,492.82,2023-02-05,775,12641.78,Auto Purchase
5574,9762194,Mortgage,Active,188102.87,0.0556,360,1075.12,2021-01-08,671,225723.44,Debt Consolidation
3403,1347730,Mortgage,Paid,103734.64,0.0379,180,756.44,2021-01-14,680,124481.57,Home Purchase
6473,1671689,Auto,Defaulted,33404.31,0.0604,48,785.11,2020-04-25,649,40085.17,Home Purchase
1651,4265102,Auto,Paid,29183.25,0.0759,72,505.85,2022-03-20,710,35019.9,Education
4796,7250006,Mortgage,Defaulted,994096.26,0.0373,180,7219.43,2022-08-16,761,1192915.51,Auto Purchase
8009,4824268,Auto,Active,19947.04,0.0503,60,376.7,2023-07-16,826,23936.45,Business Expansion
4198,9183489,Auto,Paid,36095.62,0.074,60,721.57,2024-10-29,675,43314.74,Business Expansion
6575,8528101,Auto,Active,22633.7,0.064,36,692.67,2022-04-16,842,27160.44,Education
1547,8383848,Mortgage,Active,881351.95,0.0565,180,7271.73,2021-03-15,811,1057622.34,Education
5713,2764731,Mortgage,Active,269115.54,0.0372,180,1953.07,2021-11-07,804,322938.65,Home Purchase
4077,5120309,Personal,Defaulted,36640.14,0.1195,60,814.11,2023-01-11,626,43968.17,Business Expansion
7443,2229624,Personal,Paid,40637.19,0.1479,48,1126.64,2019-12-14,838,48764.63,Education
6377,8173675,Auto,Paid,25587.57,0.065,48,606.81,2024-01-13,681,30705.08,Debt Consolidation
9048,7673420,Personal,Active,23396.97,0.1365,24,1119.49,2021-07-12,733,28076.36,Home Purchase
5792,2437925,Auto,Paid,17809.74,0.0614,48,419.41,2022-10-29,698,21371.69,Business Expansion
5833,4510420,Auto,Paid,45594.83,0.0613,60,884.23,2024-10-31,690,54713.8,Auto Purchase
7403,7835058,Auto,Defaulted,66695.75,0.0488,48,1532.33,2020-11-02,825,80034.9,Education
4135,4229252,Auto,Paid,67869.81,0.0541,36,2046.64,2020-05-26,757,81443.77,Home Purchase
3400,5683223,Auto,Defaulted,50971.34,0.0735,48,1228.87,2023-01-26,663,61165.61,Debt Consolidation
6754,6576326,Personal,Paid,16651.15,0.0871,12,1453.93,2021-01-22,621,19981.38,Debt Consolidation
9529,3826222,Mortgage,Active,460342.41,0.0412,360,2229.71,2020-10-15,777,552410.89,Education
9184,8605608,Mortgage,Defaulted,225157.18,0.038,360,1049.14,2019-11-29,626,270188.62,Home Purchase
3081,7954972,Personal,Active,10590.56,0.0817,24,479.8,2024-10-08,609,12708.67,Business Expansion
9829,4635925,Auto,Defaulted,20620.12,0.0507,72,332.76,2023-07-27,655,24744.14,Auto Purchase
2831,1971131,Personal,Paid,17508.93,0.112,36,574.88,2020-09-16,824,21010.72,Business Expansion
8543,3976047,Auto,Paid,20164.42,0.0615,36,614.81,2021-05-07,692,24197.3,Home Purchase
2927,8924432,Auto,Paid,58144.16,0.0661,48,1381.84,2023-03-29,613,69772.99,Home Purchase
8266,7259939,Mortgage,Defaulted,980580.78,0.0385,180,7179.75,2020-12-01,653,1176696.94,Debt Consolidation
2291,3600482,Mortgage,Active,529758.3,0.0522,180,4250.26,2024-10-08,758,635709.96,Auto Purchase
4455,1893848,Auto,Defaulted,32030.75,0.0434,72,506.1,2022-12-30,784,38436.9,Home Purchase
7880,4866588,Auto,Paid,15345.68,0.0405,72,240.44,2022-08-20,739,18414.82,Education
3470,3492197,Personal,Active,44101.07,0.0967,12,3870.42,2022-08-04,719,52921.28,Home Purchase
9211,9858514,Auto,Active,48829.11,0.0762,36,1521.58,2020-10-31,642,58594.93,Education
8077,1869328,Personal,Paid,35858.29,0.094,48,899.16,2022-09-11,674,43029.95,Debt Consolidation
1899,7769212,Mortgage,Paid,989637.29,0.0578,180,8233.95,2022-08-23,818,1187564.75,Education
8295,1615730,Mortgage,Defaulted,899804.38,0.0507,360,4868.91,2023-03-30,683,1079765.26,Auto Purchase
9580,2478272,Mortgage,Paid,949551.79,0.0343,180,6755.59,2022-10-09,804,1139462.15,Debt Consolidation
7982,7910787,Personal,Paid,43945.57,0.1275,36,1475.41,2024-06-19,729,52734.68,Education
4515,9166698,Personal,Defaulted,18380.68,0.1218,12,1634.65,2021-04-07,840,22056.82,Debt Consolidation
8173,4730676,Personal,Active,6376.19,0.1191,48,167.63,2024-09-24,794,7651.43,Auto Purchase
3254,6419747,Personal,Active,49550.68,0.1225,36,1651.71,2022-06-01,604,59460.82,Home Purchase
6811,5763863,Personal,Defaulted,25456.41,0.0862,36,805.01,2020-12-24,847,30547.69,Auto Purchase
1069,3547783,Mortgage,Active,605289.35,0.0584,360,3566.99,2023-08-29,695,726347.22,Business Expansion
5180,8234688,Mortgage,Active,692847.86,0.0369,360,3185.14,2021-02-16,782,831417.43,Debt Consolidation
9186,2891931,Auto,Defaulted,55001.32,0.076,72,953.64,2022-08-13,647,66001.58,Home Purchase
1126,1824285,Auto,Active,34732.51,0.0611,36,1058.36,2024-10-31,699,41679.01,Home Purchase
4034,4060579,Mortgage,Active,921043.52,0.0515,180,7355.72,2023-09-17,701,1105252.22,Business Expansion
6420,6292090,Mortgage,Defaulted,269220.85,0.0414,360,1307.13,2023-10-14,741,323065.02,Debt Consolidation
1655,5848521,Mortgage,Paid,387651.33,0.0348,360,1736.4,2023-09-02,741,465181.6,Debt Consolidation
4535,9992108,Mortgage,Paid,972560.08,0.0405,360,4671.23,2022-05-26,631,1167072.1,Business Expansion
3345,8326064,Personal,Defaulted,35069.24,0.0887,36,1113.07,2022-08-07,645,42083.09,Auto Purchase
6317,3366457,Mortgage,Paid,794989.77,0.052,180,6369.86,2020-06-24,727,953987.72,Home Purchase
6317,8683422,Mortgage,Paid,607248.71,0.0451,360,3080.45,2024-08-08,671,728698.45,Home Purchase
3871,8596605,Mortgage,Active,932236.13,0.043,180,7036.63,2021-07-09,630,1118683.36,Business Expansion
5356,7576837,Mortgage,Defaulted,534383.4,0.0346,360,2387.7,2020-05-13,703,641260.08,Home Purchase
2655,1604765,Auto,Active,58714.23,0.0529,48,1359.87,2023-11-22,804,70457.08,Home Purchase
2258,2632721,Auto,Paid,35717.6,0.0467,72,569.78,2020-06-12,806,42861.12,Home Purchase
4396,2942882,Auto,Paid,69594.06,0.0503,48,1603.65,2020-06-08,690,83512.87,Debt Consolidation
3569,8049388,Mortgage,Defaulted,208844.45,0.0541,360,1174.03,2021-10-24,742,250613.34,Home Purchase
4455,9377220,Mortgage,Active,535113.71,0.0555,360,3055.12,2022-08-01,656,642136.45,Debt Consolidation
6287,9773325,Auto,Paid,48304.25,0.06,36,1469.51,2023-10-13,647,57965.1,Business Expansion
9000,5567837,Personal,Paid,11414.52,0.1331,12,1021.17,2022-02-03,604,13697.42,Debt Consolidation
5011,3584650,Auto,Defaulted,60222.7,0.0654,48,1429.29,2020-04-04,773,72267.24,Business Expansion
5649,7512286,Personal,Defaulted,33509.49,0.1445,48,923.28,2020-04-20,698,40211.39,Business Expansion
7041,9896497,Personal,Paid,40162.84,0.1238,12,3575.56,2021-01-01,680,48195.41,Education
5988,2878227,Personal,Active,2880.24,0.1255,48,76.63,2023-03-05,621,3456.29,Auto Purchase
2003,4305676,Personal,Defaulted,11988.55,0.1104,48,310.08,2022-08-23,787,14386.26,Education
7305,2732870,Personal,Paid,3202.96,0.1408,24,153.9,2023-05-16,816,3843.55,Auto Purchase
9779,4139055,Personal,Defaulted,31882.66,0.1128,36,1048.03,2023-05-04,725,38259.19,Debt Consolidation
3582,7683319,Personal,Defaulted,4963.15,0.0929,36,158.5,2022-04-25,794,5955.78,Education
6967,9396377,Mortgage,Active,720196.79,0.0445,180,5491.07,2023-08-10,725,864236.15,Education
3986,8716000,Personal,Defaulted,45325.77,0.1165,36,1497.9,2022-04-24,776,54390.92,Business Expansion
5886,3816607,Auto,Active,65724.67,0.073,36,2038.41,2022-02-02,606,78869.6,Auto Purchase
4212,4510420,Auto,Paid,43551.48,0.0673,48,1037.45,2020-02-15,841,52261.78,Debt Consolidation
1910,8962942,Auto,Active,31379.79,0.0739,48,757.12,2020-03-06,638,37655.75,Business Expansion
8593,3052947,Auto,Paid,55793.24,0.0684,72,946.94,2024-02-13,618,66951.89,Auto Purchase
5061,3695876,Personal,Paid,38388.4,0.1018,12,3378.16,2020-12-02,732,46066.08,Auto Purchase
3067,9208357,Mortgage,Active,553019.59,0.0539,180,4486.42,2021-04-01,735,663623.51,Home Purchase
8214,7390415,Personal,Paid,13046.89,0.1369,48,354.5,2020-05-18,787,15656.27,Education
7374,5399459,Mortgage,Active,951025.39,0.0335,180,6728.88,2023-03-09,614,1141230.47,Business Expansion
5268,6779226,Mortgage,Paid,467199.57,0.0405,360,2243.97,2023-09-13,844,560639.48,Home Purchase
